name,cv_delta,cv_se,cv_z,ho_delta,ho_se,ho_z,verdict,min_z,source,cv_acc,ho_acc,pos_share_ho,theme,comb_z
SKIP_MOM_2_10,0.0004866969500324,0.0006141462767716,0.7924772459597862,0.0017549818840579,0.0012212671535171,1.4370171825253195,noise,,screen_ordinary_part1.csv,0.5203900406434646,0.5247622282608696,0.5974667715455517,ordinary,2.229494428485106
SKIP_MOM_2_20,0.0001280781447453,0.000613257095165,0.2088490223026453,-0.00078125,0.001327826234506,-0.5883676490927436,noise,,screen_ordinary_part1.csv,0.5200314218381775,0.5222259963768117,0.5996853633448297,ordinary,-0.37951862679009835
SKIP_MOM_6_20,0.0002134635745756,0.0006172573840269,0.3458258744237311,0.0018682065217391,0.0011099452856879,1.6831519047186905,survivor,,screen_ordinary_part1.csv,0.5201168072680078,0.5248754528985508,0.591678263851072,ordinary,2.0289777791424215
SKIP_MOM_11_20,0.0012978585334198,0.0006269922798328,2.0699753013959215,0.0012001811594202,0.0011893097170675,1.009140968241253,survivor,,screen_ordinary_part1.csv,0.5212012022268521,0.524207427536232,0.5903067707387911,ordinary,3.0791162696371748
MOM_DIFF_5_20,0.0003330031763379,0.0006040051026949,0.5513251044604914,0.000294384057971,0.0012739381075802,0.2310819153767093,noise,,screen_ordinary_part1.csv,0.5202363468697702,0.5233016304347826,0.5893890804945443,ordinary,0.7824070198372007
MOM_DIFF_10_20,-0.0004724660450607,0.0006029041908776,-0.7836502917203938,-5.661231884057953e-05,0.0012008257312308,-0.0471444918011128,noise,,screen_ordinary_part1.csv,0.5194308776483715,0.522950634057971,0.5897218692644359,ordinary,-0.8307947835215066
ACCEL_5,0.0002988490044058,0.0006267962449221,0.4767881218608806,-0.0009963768115942,0.0012718120328409,-0.7834308733253175,noise,,screen_ordinary_part1.csv,0.5202021926978381,0.5220108695652174,0.5941590528629919,ordinary,-0.30664275146443687
ACCEL_10,-0.0004724660450607,0.0006030386435985,-0.7834755700586415,-5.661231884057953e-05,0.0012008257312308,-0.0471444918011128,noise,,screen_ordinary_part1.csv,0.5194308776483715,0.522950634057971,0.5897218692644359,ordinary,-0.8306200618597543
CUM_COMPOUND_20,0.0004326195111399,0.0006139734621855,0.7046224923142376,-0.0005095108695652,0.0013838140449575,-0.3681931625291915,noise,,screen_ordinary_part1.csv,0.5203359632045721,0.5224977355072464,0.5918698695064641,ordinary,0.3364293297850461
COMP_MINUS_SUM_20,2.2769447954734245e-05,0.0006428339180173,0.0354204209151891,0.0005661231884057,0.001247534388456,0.4537936538217805,noise,,screen_ordinary_part1.csv,0.5199261131413869,0.5235733695652174,0.5942498134365987,ordinary,0.4892140747369696
CUM_VS_MEANPATH_20,0.0007798535924496,0.0006281960066565,1.2414176215481625,-0.0004415760869565,0.0012588255238207,-0.3507841862121246,noise,,screen_ordinary_part1.csv,0.5206831972858819,0.5225656702898551,0.5926463766362114,ordinary,0.8906334353360379
EWMA_HL2,-0.000449696597106,0.000626110681963,-0.7182381806616718,0.0014379528985507,0.00121210719604,1.1863248590953503,noise,,screen_ordinary_part1.csv,0.5194536470963261,0.5244451992753624,0.5928884048324963,ordinary,0.46808667843367857
EWMA_HL5,-0.0002931566424172,0.0006325535096321,-0.463449554785767,0.0001132246376811,0.0012160840898743,0.0931059279731703,noise,,screen_ordinary_part1.csv,0.5196101870510149,0.5231204710144928,0.5899638974607209,ordinary,-0.3703436268125967
EWMA_HL10,0.000224848298553,0.0006135920463339,0.366445914506899,0.0004981884057971,0.0011821006016858,0.4214433230865608,noise,,screen_ordinary_part1.csv,0.5201281919919851,0.5235054347826087,0.5927472217179968,ordinary,0.7878892375934599
